,Susceptible,Infected,Recovered,Dead
339,18674.12162476799,48805.404367761534,29393.591628662743,3126.882378807828
340,16848.904685990878,49775.318237798325,29767.315628879536,3608.4614473312963
341,14850.183121831626,50957.77864337857,30224.13963430158,3967.898600488394
342,13171.50183888473,51915.72238486023,30664.82533375895,4247.950442496134
343,11824.259759083176,52656.95096911594,31046.620591515068,4472.168680285606
344,92375.31562630777,6086.4361299381135,1438.270349086078,99.97789466790461
345,25414.161273667887,52596.27684929564,20376.562212806286,1612.9996642301496
346,18703.14373912925,49774.29420550828,28293.370551890297,3229.191503472069
347,18458.793184623322,48418.16179094499,28959.545093850164,4163.499930581556
348,16661.707472948317,49268.04762204105,29272.068152539592,4798.1767524710485
349,14692.359320638921,50358.78296300704,29677.73785945855,5271.119856895531
350,13034.809953330221,51248.833337335825,30077.12396513989,5639.2327441937805
351,11702.624079232779,51937.82077087246,30425.800413646473,5933.754736248554
352,92152.64458374068,6257.4836668489015,1461.6781114414314,128.19363796881862
353,25078.19221073587,52611.436759808086,20277.59608024625,2032.7749492097835
354,18498.05252989014,49517.897986101976,27943.76106559508,4040.2884184126115
355,18243.866971942738,48031.138640314384,28527.810436918095,5197.183950824892
356,16474.720589389068,48762.99010302086,28780.98475457343,5981.304553016628
357,14534.601046120762,49763.64226248818,29137.09129138502,6564.665400006062
358,12898.174662254889,50587.095477850264,29496.474412029806,7018.255447865124
359,11581.071274596028,51224.92348650831,29813.087198322053,7380.918040573658
360,91924.63741755126,6432.420231454651,1485.1567827411498,157.78556825303377
361,24745.9348307587,52620.70082168165,20174.32539441389,2459.03895314597
362,18292.97434540959,49260.026843330656,27594.258058366875,4852.740752892757
363,18029.344203840978,47644.365997001485,28098.41134337654,6227.878455781018
364,16287.944046587823,48260.16425981602,28294.06662078107,7157.825072815264
365,14376.9068415422,49172.3610904819,28602.1778831173,7848.554184858722
366,12761.592654867327,49930.4996319539,28922.834041150036,8385.073672028684
367,11459.597478032381,50518.236097229325,29208.420324109527,8813.746100628652
368,91691.21277096652,6611.295157501009,1508.6927880394237,188.7992834931818
369,24417.310946845133,52624.153548486116,20066.806768766393,2891.728735902364
370,18087.91870384863,49000.70913718058,27244.904907665914,5666.467251304964
371,17815.22612862165,47257.87463599525,27671.371001513904,7255.528233869301
372,16101.37792372552,47759.588299933275,27811.314468684624,8327.719307656733
373,14219.275305195488,48584.94367599436,28072.975265204008,9122.805753606059
374,12625.060637637682,49279.03641637038,28356.16007411525,9739.742871876395
375,11338.19878979707,49817.73550992363,28611.739215247206,10232.32648503224
376,91452.29010250261,6794.156572795516,1532.2719305038631,221.28139419819303
377,24092.243203794205,52621.878937126945,19955.097691158924,3330.7801679202676
378,17882.895068561957,48739.97322980921,26895.744555274752,6481.387146354001
379,17601.514027274763,46871.69502496964,27246.712104370596,8280.078843385014
380,15915.022369022186,47261.28006046582,27332.728552657703,9490.969017854482
381,14061.705092598768,48001.39392969535,27549.460751336832,10387.440226369252
382,12488.575337003816,48632.69624024814,27796.40959230263,11082.31883044524
383,11216.87127964345,49123.398558806824,28022.983345122986,11636.746816426734
384,91207.78980007565,6981.051293916397,1555.8793791811493,255.27952682676263
385,23770.655135091572,52613.96041892542,19839.256465992094,3776.1279799907625
386,17677.912847351312,48477.84748181599,26546.81950760651,7297.420163226055
387,17388.209214961928,46485.857323163735,26824.4568517736,9301.476610100815
388,15728.877600891403,46765.257009252746,26858.30866905806,10647.556720797917
389,13904.194918729054,47421.7154452107,27031.611343962904,11642.478292097652
390,12352.133502154742,47991.46930634613,27243.53954169615,12412.857649803014
391,11095.610989043098,48435.202006968866,27442.092239719175,13027.094764268664
392,90957.63329844752,7172.024718297101,1579.4996570723195,290.8423261829397
393,23452.471215026326,52600.48081502465,19719.34215810325,4227.705811845686
394,17472.98139185957,48214.360248476296,26198.171836010253,8114.486523653923
395,17175.31304248967,46100.39138031121,26404.62695242959,10319.668624769576
396,15542.94390911556,46271.53624604254,26388.054161364485,11797.465683477034
397,13746.743560289446,46845.91150039539,26519.40373988218,12887.941199432942
398,12215.731907891599,47355.345612154975,26697.506737705502,13731.415742248046
399,10974.413933526397,47753.122547816616,26869.005481022443,14403.458037635075
400,93667.90189934579,5022.1363023413105,1288.933932066211,21.027866246740896
401,27045.74864891217,51428.61326385672,21145.228607199668,380.40948003123106
402,19423.933264061303,48729.178371312606,31058.409986585903,788.478378040207
403,19886.6901684642,46984.47827215883,32107.855963076836,1020.9755963000969
404,18333.484896689763,47932.481045843735,32556.145836633455,1177.8882208329221
