,P11,P13,P21,P23,M1,M2
354,0.3,0.04,0.1,0.1,96200.83535483354,203.80373386865685
355,0.31,0.04,0.1,0.1,96326.73957510458,189.32192324695077
356,0.32,0.04,0.1,0.1,96444.35936810376,176.39117837635732
357,0.33,0.04,0.1,0.1,96554.5904727561,164.72181732873207
358,0.34,0.04,0.1,0.1,96658.07890947844,154.18796801164763
359,0.35000000000000003,0.04,0.1,0.1,96755.47778497086,144.60853549049477
360,0.36,0.04,0.1,0.1,96847.24091251328,135.93682372302646
361,0.37,0.04,0.1,0.1,96933.88513275151,128.03311944592662
362,0.38,0.04,0.1,0.1,97015.87171533419,120.77441601843645
363,0.39,0.04,0.1,0.1,97093.50052777966,114.15333139228433
364,0.4,0.04,0.1,0.1,97167.18319334762,108.03737192593577
365,0.41000000000000003,0.04,0.1,0.1,97237.1827745642,102.40475683654559
366,0.42,0.04,0.1,0.1,97303.77215449903,97.20526658101133
367,0.43,0.04,0.1,0.1,97367.19746353588,92.39516479915888
368,0.44,0.04,0.1,0.1,97427.65288177104,87.9619155288984
369,0.45,0.04,0.1,0.1,97485.39857321896,83.81936956443214
370,0.46,0.04,0.1,0.1,97540.61433962616,79.94127659322378
371,0.47000000000000003,0.04,0.1,0.1,97593.41447187442,76.3495442349594
372,0.48,0.04,0.1,0.1,97643.97906639027,72.99635907605688
373,0.49,0.04,0.1,0.1,97692.44809685615,69.86108289723849
374,0.5,0.04,0.1,0.1,97738.94994382602,66.92532587494551
375,0.51,0.04,0.1,0.1,97783.60256537732,64.17267403430952
376,0.52,0.04,0.1,0.1,97826.53571878075,61.56909377769581
377,0.53,0.04,0.1,0.1,97867.80930197096,59.13814189062538
378,0.54,0.04,0.1,0.1,97907.53538440082,56.85010677521741
379,0.55,0.04,0.1,0.1,97945.81780519425,54.67756500804319
380,0.56,0.04,0.1,0.1,97982.70203315958,52.64187390614609
381,0.5700000000000001,0.04,0.1,0.1,98018.2776713232,50.719643290906276
382,0.58,0.04,0.1,0.1,98052.63073056443,48.88675263736267
383,0.59,0.04,0.1,0.1,98085.79289131492,47.165406871191834
384,0.6,0.04,0.1,0.1,98117.85346066946,45.52145338588321
385,0.61,0.04,0.1,0.1,98148.84062454036,43.973947417685324
386,0.62,0.04,0.1,0.1,98178.83202556138,42.49350951620223
387,0.63,0.04,0.1,0.1,98207.85207866118,41.09725724404072
388,0.64,0.04,0.1,0.1,98235.96935565853,39.75909223997909
389,0.65,0.04,0.1,0.1,98263.20436117698,38.495116299820154
390,0.66,0.04,0.1,0.1,98289.61866921278,37.2813386890048
391,0.67,0.04,0.1,0.1,98315.23766135654,36.12535119143102
392,0.68,0.04,0.1,0.1,98340.0909515822,35.029056779621925
393,0.6900000000000001,0.04,0.1,0.1,98364.22659628627,33.97555970100653
394,0.7000000000000001,0.04,0.1,0.1,98387.66110669641,32.97571238802443
395,0.71,0.04,0.1,0.1,98410.43912130625,32.01277161307643
396,0.72,0.04,0.1,0.1,98432.57991677265,31.092231491946407
397,0.73,0.04,0.1,0.1,98454.10532536249,30.215965679943306
398,0.74,0.04,0.1,0.1,98475.05164237513,29.371182167024973
399,0.75,0.04,0.1,0.1,98495.43589411218,28.56195080875954
400,0.76,0.04,0.1,0.1,98515.27677532914,27.789767059065618
401,0.77,0.04,0.1,0.1,98534.60447873642,27.044413511799476
402,0.78,0.04,0.1,0.1,98553.43382886657,26.32912553389383
403,0.79,0.04,0.1,0.1,98571.7840326299,25.64219558837055
