,percentage_extremists,uncertainty_moderate,uncertainty_extremists,relative_difference_positive_negative_extrimists,intensity_interaction,embedding
419,0.25,0.4,0.2,0.4,0.2,0.5145560242350253
420,0.3,0.4,0.2,0.4,0.2,0.34558734286357373
421,0.15,1.4,0.1,0.1,0.5,37.74511536603563
422,0.1,0.2,0.1,0.5,0.4,0.1684968487482599
423,0.15,0.8,0.15,0.3,0.4,38.02306790312719
424,0.15,2.0,0.2,0.5,0.5,6.19367321060724
425,0.025,0.8,0.2,0.2,0.5,256.04719762985616
426,0.025,1.6,0.1,0.1,0.5,36.93030542207606
427,0.025,1.0,0.15,0.1,0.2,265.7959786510202
428,0.15,0.2,0.15,0.1,0.5,0.1553174435832691
429,0.025,1.0,0.1,0.0,0.1,2151.511574424195
430,0.2,0.6000000000000001,0.15,0.1,0.3,1.1622516596794163
431,0.25,0.4,0.1,0.0,0.5,0.6049350677281644
432,0.05,1.6,0.05,0.3,0.3,16.061032571569665
433,0.25,0.2,0.2,0.5,0.3,0.12627700584379248
434,0.05,0.8,0.1,0.5,0.5,54.22960228201738
435,0.3,1.6,0.15,0.0,0.5,61.58862555196262
436,0.05,1.0,0.15,0.3,0.1,151.84661787211877
437,0.15,1.8,0.15,0.2,0.2,9.755735432915195
438,0.025,1.0,0.2,0.2,0.1,287.1891159876901
439,0.025,0.4,0.05,0.3,0.1,0.3526787620771119
440,0.3,1.6,0.1,0.3,0.1,7.528205012008694
441,0.05,1.6,0.05,0.4,0.4,29.77399409325716
442,0.025,2.0,0.1,0.3,0.1,60.843811823115615
443,0.025,0.2,0.1,0.5,0.1,0.14902993369637957
444,0.025,1.2,0.05,0.1,0.3,473.8085513531923
